date,channel,hour,text,sentiment,category
08/12/2022,voyna_ukrainavshoke,20,"**Рашисты попали в частный дом в Харьковском районе.
**
К сожалению, есть пострадавшие. Уже известно о минимум 4 раненых: двух мужчинах и двух женщинах.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,19,"Пока чмобики живут в лесах и пьют воду из луж, их генералы обжираются деликатесами 🤡

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Shelling
08/12/2022,voyna_ukrainavshoke,18,"**Президент Франции Макрон начал радикальные реформы в стране. **

По его словам, в 2023 году для всех молодых людей в возрасте от 18 до 25 лет презервативы в аптеках будут бесплатными.

Он добавил, что это связано с тем, что во Франции среди молодежи растёт количество заболеваний передающихся половым путем.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Political
08/12/2022,voyna_ukrainavshoke,18,"Уберите ваших домашних животных от экранов: русские школьники измазанные краской и с муляжами автоматов записали обращение к Херсонскому еноту.

Кажется, в рф начали заканчиваться койко-места в дурдомах.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Political
08/12/2022,voyna_ukrainavshoke,17,"**Ещё кадры из Бахмута.**

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,16,"**Генпрокуратура разоблачила один из винницких машиностроительных заводов, продолживший сотрудничество с россией.
**
В течение этого года предприятие экспортировало в рф комплектующие, которые используются для ремонта военной техники, на общую сумму более 51 миллиона гривен.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Economical
08/12/2022,voyna_ukrainavshoke,16,"Так сейчас выглядит Бахмут Донецкой области с высоты птичьего полета.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,15,"Последствия обстрелов рашистами Угледара Донецкой области.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,15,"Financial Times пишет, что дроны, которые нанесли удары по рашистких аэродромам, **были разработаны совместно госструктурами и частным бизнесом в Украине. **

При этом в издании отметили, что беспилотники были созданы не ""Укроборонпромом"", также они не являются усовершенствоваными советскими аппаратами.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Economical
08/12/2022,voyna_ukrainavshoke,14,"**Сообщают, что на авиабазе в оккупированном Бердянске прогремели 3 мощных взрыва, а за ними еще 15 меньшей силы.**

Начался сильный пожар. Почти все скорые и пожарные машины, которые есть в городе, выехали на место происшествия.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Shelling
08/12/2022,voyna_ukrainavshoke,14,"**Рашисты завезли на Запорожскую АЭС несколько РСЗО «Град», заявили в «Энергоатоме». **

Их разместили рядом с энергоблоком и территорией хранилища отработанного ядерного топлива. Оккупанты готовятся к обстрелам противоположного берега Днепра, используя ЗАЭС в качестве прикрытия.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,13,"СБУ заявила, что обнаружила в епархиях УПЦ МП пропуск, выписанный на имя «федерального советника военно-гражданской администрации рф», российские паспорта местных священников, которые они получили во время оккупации Херсона и конечно же рашистские тряпки.

Обыски были проведены на объектах в Херсонской, Черкасской, Житомирской и Волынской областях.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Political
08/12/2022,voyna_ukrainavshoke,13,"Хуйло признало, что ударами по инфраструктуре Украины мстит за Керченский мост и отсутствие воды в оккупированном Донецке.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,13,"Вот так необычно и красиво выглядит работа нового французского нарезного миномета MO-120-RT-61

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,12,"Народная примета у оккупантов: запуски HIMARS к обильным черным пакетам.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,11,"**Эвакуация раненых военных из Бахмута.
**
[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Humanitarian
08/12/2022,voyna_ukrainavshoke,11,"**""Позорище, хохлячьи флажки""**

В Ростове-на-Дону у убогой бабищи случилась истерика из-за новогодней инсталляции 🤡

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Political
08/12/2022,voyna_ukrainavshoke,11,"**Это не кадр из боевика. Эта фотография-реальность войны.

**Этот парень-олицетворение Украины, которая уже пролила так много собственной крови. А Бахмут-символ несокрушимости и стойкости всего украинского народа.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Political
08/12/2022,voyna_ukrainavshoke,10,"Вещание российского телеканала ""Дождь"" будет приостановлено во всех странах Балтии.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Economical
08/12/2022,voyna_ukrainavshoke,10,"Рашистский вертолет с экипажем завершил демилитаризацию с отличием.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,10,"**Боевая работа наших танкистов.

**[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,9,"**Мариуполь. Очереди за кашей и булочками.

**Именно так выглядит ""освобождение от бандеровской хунты"".

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Shelling
08/12/2022,voyna_ukrainavshoke,9,"**Украина получила оригинал сертификата о включении борща в список нематериального наследия ЮНЕСКО**, — сообщает МИД Украины.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Shelling
08/12/2022,voyna_ukrainavshoke,9,"**Военному летчику Вадиму Ворошилову с позывным Karaya присвоили звание Героя Украины.
**
Указ подписал Зеленский. Karaya сбил над Винницкой областью 5 ""шахедов"" и 2 ракеты, а потом отвел свой поврежденный самолет от населенного пункта и смог успешно катапультироваться.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Political
08/12/2022,voyna_ukrainavshoke,8,"В Конгрессе США показали, для чего нужны тряпки фейковых псевдообразований россии.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Political
08/12/2022,voyna_ukrainavshoke,8,"Белгородская область. Тревожно.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,8,"Новые кадры бавовны на аэродроме в Курской области рф.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Shelling
08/12/2022,voyna_ukrainavshoke,8,"Скромный герой ""Левша"" из 66 бригады ВСУ сбил одну из крылатых ракет оккупантов.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,8,"__**""Главное, чтобы когда прилетит по москве, мы не сказали ну и что?"".__**

Так пропагандисты комментируют удары по своим аэродромам. 

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Political
08/12/2022,voyna_ukrainavshoke,7,"На рашистском православном телекАНАЛЕ ""Спас"" протоирей Фомин и ведущий Корчевников обсудили, почему убивать людей — ""это православно"".

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Humanitarian
08/12/2022,voyna_ukrainavshoke,6,"**Тем временем в Белгородской народной все как обычно. 
**
[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
08/12/2022,voyna_ukrainavshoke,6,"**Оккупанты ударили по транспортной базе в Николаеве.**

Горели автобусы. На месте работают спасатели, информации 
о пострадавших нет.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,20,"Попавший в плен в Мариуполе и приговорённый к смерти в ""днр"" британец Шон Пиннер, которого затем освободили в рамках обмена, вернулся воевать в Украину, сообщает газета The Sun.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Political
07/12/2022,voyna_ukrainavshoke,20,"**Украинцы побеждают тьму.**

После отключения электричества в киевском супермаркете, люди без паники, драк и краж спокойно достают фонарики и продолжают свои дела, не причиняя дискомфорта окружающим. 

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Economical
07/12/2022,voyna_ukrainavshoke,19,"Мини РСЗО на базе Ford F-150 на вооружении ВСУ.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,19,"**Так выглядит небо над Авдеевкой сейчас.**

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,18,"**От действий рашистов погибло около 50 000 дельфинов в Черном море.

**В результате боевых действий, которые оккупанты вели на побережье Черного моря, уничтожено 20% общей популяции дельфинов этого моря.

[Подписаться](https://t.me/voyna_ukrainavshoke)",neutral,Political
07/12/2022,voyna_ukrainavshoke,18,"Реалии Мариуполя: в квартирах отопления нет, поэтому вода замерзает в кранах и поилках для животных. 

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,17,"**Германия готовит для Украины передачу 155-мм самоходных артиллерийских установок RCH 155.

**Федеральное правительство официально уведомило о 18 единицах.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Economical
07/12/2022,voyna_ukrainavshoke,17,"Мэр Львова передал Папе Римскому крест с фрагментом рашистской крылатой ракеты, который достали из тела ребенка.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Shelling
07/12/2022,voyna_ukrainavshoke,16,"**Хуйло считает, что Украина должна ""возместить ущерб, нанесенный Донбассу"".

**""__Возмещение ущерба, нанесенного Украиной Донбассу, лишним не будет__"", — промычало убогое. 

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Economical
07/12/2022,voyna_ukrainavshoke,16,"**СБУ задержала в Одессе рашистского агента, который ""охотился"" за украинскими противокорабельными комплексами ""Нептун"".

**[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,16,"**18+ Момент прилета в т.н. ""депутата"" ""днр"" Марию Пирогову в оккупированном Донецке**.

Довольно странная точность.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,16,"Украина получила гуманитарную помощь от Южной Кореи в виде 100 пикапов и 5 мини-экскаваторов.

[Подписаться](https://t.me/voyna_ukrainavshoke)",positive,Political
07/12/2022,voyna_ukrainavshoke,15,"**Фронтовой госпиталь в Бахмуте.

**[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,14,"**Хуйло заявило, что ""спецоперация"" в Украине может стать длительным процессом.

**Главное, чтобы твоя смерть была максимально длительной и мучительной.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
07/12/2022,voyna_ukrainavshoke,14,"**На россии партизаны повредили транссибирскую магистраль**.

В ночь на 6 декабря недалеко от Красноярска рельсовые партизаны уничтожили на железной дороге четыре устройства сигнализации, централизации и блокирования, тем самым повредив главную ж/д артерию.

[Подписаться](https://t.me/voyna_ukrainavshoke)",negative,Shelling
